"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Rainbow","Root Category/Shop By/Brand","14","Yes","rainbow","","","","","","Yes","Products only","","No","","","No layout updates",""
"Equipment","Root Category/Clearance/WOMENS","3","Yes","equipment","","","Girls Lacrosse Equipment Sales | Womens Lax Equipment Deals | Goggles | Lacrosse Gloves | Complete Sticks | Lacrosse Handles | Lax Shafts |","Girls Lacrosse Equipment Sales | Womens Lax Equipment Deals | Goggles | Lacrosse Gloves | Complete Sticks | Lacrosse Handles | Lax Shafts |","Shop Girls Lacrosse Equipment Clearance Sales from Brine, STX, Cascade, and Lacrosse Unlimited with Lowest Prices in Lacrosse","Yes","Products only","","No","","","No layout updates",""
"Short Sleeve","Root Category/GIRLS/LACROSSE TEES","1","Yes","girls-lacrosse-t-shirts","Short Sleeve Lax Tees and T-Shirts for All Girls or Women Lacrosse Players ","","Girls Lacrosse T Shirts - Nike Girls Lacrosse T-Shirts & Graphic T Shirts","","Shop a wide variety of Girls Lacrosse T Shirts, Nike Womens Lacrosse T-Shirts & Graphic T\'s at Lacrosse Unlimited. Top brands such as Nike & Lax Unlimited.","Yes","Products only","","No","","","No layout updates",""
"Footwear","Root Category/Clearance/WOMENS","2","Yes","girls-lacrosse-footwear-on-sale","","","Girls Lacrosse Cleats on Sale | Womens Lax Cleats on Sale | Nike Cleats on Clearance | Discount Girls Cleats |","Girls Lacrosse Cleats on Sale | Womens Lax Cleats on Sale | Nike Cleats on Clearance | Discount Girls Cleats |","Shop Girls Lacrosse Cleats on SALE direct from Lacrosse Unlimited with FREE Shipping on All Orders over 99.00","Yes","Products only","","No","","","No layout updates",""
"Sandals","Root Category/GIRLS/FOOTWEAR","4","Yes","sandals","","","Rainbow Sandals | Girls Flip Flops | Girls Sandals | Girls Slides | Womens Sandals | ","Rainbow Sandals | Girls Flip Flops | Girls Sandals | Girls Slides | Womens Sandals | ","Shop Girls and Womens Lacrosse Sandals Direct from Lacrosse Unlimited with FREE SHIPPING on All Orders over 99.00 ","Yes","Products only","","No","","","No layout updates",""
"Sandals","Root Category/Youth/FOOTWEAR","3","Yes","sandals","","","Youth Flip Flops | Boys Slides | Kids Flip Flops | Rainbow Sandals | Nike Slides |","Youth Flip Flops | Boys Slides | Kids Flip Flops | Rainbow Sandals | Nike Slides |","Shop Youth Lacrosse Slides and Flip Flops Direct from Lacrosse Unlimited with FREE SHIPPING on All Orders over 99.00","Yes","Products only","","No","","","No layout updates",""
"Games","Root Category/Lifestyle/Gifts/LAX GIFTS","6","No","lacrosse-games","","","Lacrosse Game | Chalk Talk Liddle Lax Game","","","Yes","Products only","","No","","","No layout updates",""
"ChalkTalk","Root Category/Shop By/Brand","4","Yes","chalktalk","","","","","","Yes","Products only","","No","","","No layout updates",""
"Champion","Root Category/Shop By/Brand","21","Yes","champion","","","","","","Yes","Products only","","No","","","No layout updates",""
"Athletic Cups","Root Category/Clearance/PROTECTIVE","8","Yes","athletic-cups","","","","","","Yes","Products only","","No","","","No layout updates",""
"Middle School","Root Category/Shop By/Age","2","Yes","middle-school","","","","","","Yes","Products only","","No","","","No layout updates",""
"Maryland","Root Category/Shop By/College","14","Yes","maryland","","","","","","Yes","Products only","","No","","","No layout updates",""
"Navy","Root Category/Shop By/College","15","Yes","navy","","","","","","Yes","Products only","","No","","","No layout updates",""
"North Carolina","Root Category/Shop By/College","16","Yes","north-carolina","","","","","","Yes","Products only","","No","","","No layout updates",""
"Northwestern","Root Category/Shop By/College","17","Yes","northwestern","","","","","","Yes","Products only","","No","","","No layout updates",""
"Ohio State","Root Category/Shop By/College","19","Yes","ohio-state","","","","","","Yes","Products only","","No","","","No layout updates",""
"Oregon","Root Category/Shop By/College","20","Yes","oregon","","","","","","Yes","Products only","","No","","","No layout updates",""
"Penn State","Root Category/Shop By/College","21","Yes","penn-state","","","","","","Yes","Products only","","No","","","No layout updates",""
"Princeton","Root Category/Shop By/College","22","Yes","princeton","","","","","","Yes","Products only","","No","","","No layout updates",""
"Stony Brook","Root Category/Shop By/College","23","Yes","stony-brook","","","","","","Yes","Products only","","No","","","No layout updates",""
"St. Johns","Root Category/Shop By/College","24","Yes","st-johns","","","","","","Yes","Products only","","No","","","No layout updates",""
"Syracuse","Root Category/Shop By/College","25","Yes","syracuse","","","","","","Yes","Products only","","No","","","No layout updates",""
"Turtles","Root Category/Shop By/College","28","Yes","turtles","","","","","","Yes","Products only","","No","","","No layout updates",""
"Umass","Root Category/Shop By/College","29","Yes","umass","","","","","","Yes","Products only","","No","","","No layout updates",""
"Loyola","Root Category/Shop By/College","13","Yes","loyola","","","","","","Yes","Products only","","No","","","No layout updates",""
"John Hopkins","Root Category/Shop By/College","12","Yes","john-hopkins","","","","","","Yes","Products only","","No","","","No layout updates",""
"High School","Root Category/Shop By/Age","3","Yes","high-school","","","","","","Yes","Products only","","No","","","No layout updates",""
"College","Root Category/Shop By/Age","4","Yes","college","","","","","","Yes","Products only","","No","","","No layout updates",""
"All","Root Category/Shop By/Age","5","Yes","all","","","","","","Yes","Products only","","No","","","No layout updates",""
"Army","Root Category/Shop By/College","1","Yes","army","","","","","","Yes","Products only","","No","","","No layout updates",""
"Boston College","Root Category/Shop By/College","2","Yes","boston-college","","","","","","Yes","Products only","","No","","","No layout updates",""
"Colgate","Root Category/Shop By/College","3","Yes","colgate","","","","","","Yes","Products only","","No","","","No layout updates",""
"Cornell","Root Category/Shop By/College","4","Yes","cornell","","","","","","Yes","Products only","","No","","","No layout updates",""
"Dartmouth","Root Category/Shop By/College","5","Yes","dartmouth","","","","","","Yes","Products only","","No","","","No layout updates",""
