Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
Flip Flops,Root Category/Mens/Footwear/Sandals,,Yes,Flip Flops,,,Flip Flops,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Slides,Root Category/Mens/Footwear/Sandals,,Yes,Slides,,,Slides,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Complete Sticks,Root Category/Womens/Sticks,,Yes,Complete Sticks,,,Complete Sticks,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Heads,Root Category/Womens/Sticks,,Yes,Heads,,,Heads,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Shafts,Root Category/Womens/Sticks,,Yes,Shafts,,,Shafts,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Tape,Root Category/Womens/Sticks,,Yes,Tape,,,Tape,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goals,Root Category/Womens/Goals & Training,,Yes,Goals,,,Goals,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Training,Root Category/Womens/Goals & Training,,Yes,Training ,,,Training ,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Balls,Root Category/Womens/Goals & Training,,Yes,Balls,,,Balls,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Lacrosse Bags,Root Category/Womens/Goals & Training,,Yes,Lacrosse Bags,,,Lacrosse Bags,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Gloves,Root Category/Womens/Protective,,Yes,Gloves,,,Gloves,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goggles,Root Category/Womens/Protective,,Yes,Goggles,,,Goggles,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goalie Equipment,Root Category/Womens/Protective,,Yes,Goalie Equipment,,,Goalie Equipment,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Mouth Pieces,Root Category/Womens/Protective,,Yes,Mouth Pieces,,,Mouth Pieces,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
T's & Tops,Root Category/Womens/Apparel,,Yes,T's & Tops,,,T's & Tops,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Shorts,Root Category/Womens/Apparel,,Yes,Shorts,,,Shorts,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Sweats,Root Category/Womens/Apparel,,Yes,Sweats,,,Sweats,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Hats,Root Category/Womens/Apparel,,Yes,Hats,,,Hats,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Gift Cards,Root Category/Womens/Gift Cards & Lifestyle,,Yes,Gift Cards,,,Gift Cards,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
LifeStyle,Root Category/Womens/Gift Cards & Lifestyle,,Yes,LifeStyle,,,LifeStyle,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Cleats,Root Category/Womens/Footwear,,Yes,Cleats,,,Cleats,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Turfs,Root Category/Womens/Footwear,,Yes,Turfs,,,Turfs,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Sneakers,Root Category/Womens/Footwear,,Yes,Sneakers,,,Sneakers,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Socks,Root Category/Womens/Footwear,,Yes,Socks,,,Socks,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Sandals,Root Category/Womens/Footwear,,Yes,Sandals,,,Sandals,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Custom Dyes,Root Category/Womens/Sticks/Heads,,Yes,Custom Dyes,,,Custom Dyes,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Custom Strung,Root Category/Womens/Sticks/Heads,,Yes,Custom Strung,,,Custom Strung,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goalie,Root Category/Womens/Sticks/Heads,,Yes,Goalie,,,Goalie,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Limited Edition,Root Category/Womens/Sticks/Shafts,,Yes,Limited Edition,,,Limited Edition,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
